Station_ID,Longitude,Latitude
1,104.108690,30.674000
2,104.094590,30.661870
3,104.075698,30.695897
4,103.992950,30.670610
5,104.057060,30.763500
6,104.013710,30.705230
7,104.131920,30.753300
8,104.070420,30.656070
9,104.044130,30.709770
10,104.168130,30.693820
11,104.114480,30.652020
12,103.956820,30.571350
13,104.021190,30.645670
14,103.976400,30.746140
15,104.048840,30.665770
16,104.067180,30.713070
17,104.049240,30.688360
18,104.103498,30.706014
19,104.104650,30.618120
20,104.075863,30.668877
21,104.029080,30.681830
22,104.067760,30.618590
23,104.128403,30.672360
24,104.053090,30.643290
25,104.060280,30.575390
26,104.141627,30.628662
27,104.060940,30.671700
28,104.090080,30.642780
29,104.089160,30.683140
30,104.080090,30.654790
