Episode,total_reward,revenue,orr,total_distance,cost
1,28.5830,28.0553,0.1319,101.6776,10.1678
2,28.5501,28.0275,0.1307,101.6776,10.1678
3,28.5527,28.0265,0.1316,101.6776,10.1678
4,28.6007,28.0759,0.1312,102.6479,10.2648
5,28.3763,27.8524,0.1310,104.5884,10.4588
6,28.5353,28.0212,0.1285,102.6479,10.2648
7,28.4852,27.9587,0.1316,102.6479,10.2648
8,28.4846,27.9601,0.1311,102.6479,10.2648
9,28.3841,27.8593,0.1312,104.5042,10.4504
10,28.4854,27.9581,0.1318,102.6479,10.2648
11,27.0878,26.5884,0.1248,101.5666,10.1567
12,27.0936,26.6789,0.1037,92.3122,9.2312
13,33.0359,32.6139,0.1055,79.1267,7.9127
14,29.1703,28.7944,0.0940,71.1089,7.1109
15,33.0157,32.5853,0.1076,75.4599,7.5460
16,27.1957,26.7880,0.1019,84.8017,8.4802
17,19.9164,19.5708,0.0864,84.5096,8.4510
18,24.8969,24.5251,0.0929,86.2273,8.6227
19,28.4486,28.0565,0.0980,75.0385,7.5038
20,26.9466,26.5635,0.0958,80.7555,8.0756
21,24.9335,24.5558,0.0944,86.9471,8.6947
22,27.0882,26.6901,0.0995,84.6428,8.4643
23,28.2294,27.8298,0.0999,83.9095,8.3909
24,26.5723,26.1906,0.0954,79.2440,7.9244
25,29.7077,29.2827,0.1062,86.3043,8.6304
26,27.3810,26.9891,0.0980,81.4129,8.1413
27,25.6075,25.2370,0.0926,82.1041,8.2104
28,27.5912,27.1995,0.0979,84.9310,8.4931
29,24.7192,24.3626,0.0891,80.4583,8.0458
30,26.6920,26.3022,0.0975,82.8175,8.2818
31,26.5514,26.1562,0.0988,86.2413,8.6241
32,26.8412,26.4501,0.0978,83.1109,8.3111
33,27.2231,26.8346,0.0971,82.2716,8.2272
34,29.7027,29.2865,0.1040,86.3951,8.6395
35,28.9127,28.5087,0.1010,83.8773,8.3877
36,26.7849,26.3998,0.0963,81.2519,8.1252
37,26.2511,25.8717,0.0948,83.0273,8.3027
38,28.0827,27.6839,0.0997,84.5256,8.4526
39,26.3682,25.9753,0.0982,85.0409,8.5041
40,27.9857,27.5897,0.0990,82.4795,8.2480
41,23.6654,23.3141,0.0878,82.7583,8.2758
42,25.8721,25.4886,0.0959,85.8381,8.5838
43,32.4375,31.9796,0.1145,85.0306,8.5031
44,28.4051,28.0112,0.0985,81.8980,8.1898
45,24.4403,24.0763,0.0910,85.1684,8.5168
46,31.8744,31.4315,0.1107,83.3688,8.3369
47,26.8755,26.4772,0.0996,80.9584,8.0958
48,27.1762,26.7760,0.1001,83.5619,8.3562
49,28.0834,27.6781,0.1013,82.7964,8.2796
50,29.3071,28.8888,0.1046,84.8514,8.4851
51,27.5464,27.1442,0.1005,84.5716,8.4572
52,29.2653,28.8532,0.1030,82.3732,8.2373
53,28.2372,27.8248,0.1031,84.4469,8.4447
54,28.6111,28.2004,0.1027,85.9485,8.5948
55,27.4513,27.0343,0.1042,93.0626,9.3063
56,30.0145,29.5991,0.1038,80.8968,8.0897
57,30.2215,29.7941,0.1068,82.2341,8.2234
58,28.7134,28.3012,0.1031,89.2727,8.9273
59,31.7150,31.2806,0.1086,78.4751,7.8475
60,31.3047,30.8504,0.1136,92.6403,9.2640
61,32.0807,31.6223,0.1146,89.9749,8.9975
62,32.4906,32.0323,0.1146,85.6592,8.5659
63,29.3561,28.9302,0.1065,86.9401,8.6940
64,32.9502,32.4816,0.1172,93.3451,9.3345
65,33.8776,33.4012,0.1191,88.4378,8.8438
66,32.2802,31.8002,0.1200,93.3880,9.3388
67,34.3020,33.8033,0.1247,95.7161,9.5716
68,34.0425,33.5564,0.1215,89.3043,8.9304
69,31.8569,31.4030,0.1135,87.3480,8.7348
70,35.1171,34.6199,0.1243,94.0091,9.4009
71,34.3046,33.8094,0.1238,92.8656,9.2866
72,34.4182,33.9160,0.1255,91.8675,9.1868
73,38.3851,37.8432,0.1355,94.0908,9.4091
74,35.8005,35.2981,0.1256,90.9080,9.0908
75,36.7399,36.2169,0.1308,94.3089,9.4309
76,37.2428,36.7070,0.1340,92.4356,9.2436
77,39.3497,38.7883,0.1404,96.8516,9.6852
78,36.1847,35.6703,0.1286,92.7331,9.2733
79,37.4289,36.9006,0.1321,92.1303,9.2130
80,39.4096,38.8515,0.1395,95.9287,9.5929
81,39.8936,39.3265,0.1418,96.9353,9.6935
82,39.5068,38.9356,0.1428,101.8080,10.1808
83,37.2857,36.7399,0.1364,100.2259,10.0226
84,41.6602,41.0456,0.1536,105.4279,10.5428
85,44.3784,43.7438,0.1587,101.3739,10.1374
86,41.1773,40.5620,0.1538,112.2735,11.2273
87,43.0571,42.4389,0.1546,104.5653,10.4565
88,42.7708,42.1362,0.1587,107.3408,10.7341
89,42.1882,41.5814,0.1517,96.1062,9.6106
90,42.1581,41.5427,0.1539,104.5569,10.4557
91,42.3279,41.7093,0.1546,107.7246,10.7725
92,42.8433,42.1978,0.1614,108.1946,10.8195
93,44.3041,43.6448,0.1648,110.4074,11.0407
94,45.6109,44.9453,0.1664,108.4393,10.8439
95,45.4478,44.7944,0.1634,106.5897,10.6590
96,47.6682,46.9729,0.1738,111.3572,11.1357
97,47.0293,46.3407,0.1721,111.2597,11.1260
98,45.4351,44.7636,0.1679,113.3673,11.3367
99,45.5984,44.9359,0.1656,110.4888,11.0489
100,50.3277,49.6136,0.1785,107.1353,10.7135
